Nivå	HTG	HT	GT_nr	Basic type	S_kode	Name		KLG_RE-IA	KLG_RE-ID-KF	KLG_RE-KS	KLG_KA	KLG_IYK	KLG_IP	KLG_BP	KLG_VP	KLG_VE	KLG_AI	KLG_AI-KS	KLG_JP	Pred_Lnr	Naturlandskap
LA	I	ID	4	ID-4	LA-ID-4	Åpent dallandskap i lavlandet med bebyggelse/infrastrukturog høyt jordbrukspreg	Open valley with settlements and agriculture		KLG_RE-ID-KF-1				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	58	0
LA	I	ID	40	ID-40	LA-ID-40	Relativt åpent dallandskap ved skoggrensen med tettsted 	Relatively open lower mountain valley with village 		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-2	KLG_AI-3		KLG_JP-1	94	0
LA	I	ID	41	ID-41	LA-ID-41	Relativt åpent dallandskap i fjellet med vegetasjonsdekke	Relatively open mountain valley 		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	95	1
LA	I	ID	42	ID-42	LA-ID-42	Relativt åpent dallandskap i fjellet med vegetasjonsdekke og bebyggelse/infrastruktur	Relatively open mountain valley with settlements 		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-3	KLG_AI-2		KLG_JP-1	96	0
LA	I	ID	43	ID-43	LA-ID-43	Relativt åpent dallandskap med bart fjell/blokkmark 	Relatively open barren mountain valley 		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	97	1
LA	I	ID	44	ID-44	LA-ID-44	Relativt åpent dallandskap med isbre 	Relatively open barren mountain valley with glacier 		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	98	1
LA	I	ID	45	ID-45	LA-ID-45	Relativt åpent dallandskap i lavlandet med større innsjø 	Relatively open valley with lake 		KLG_RE-ID-KF-2				KLG_IP-2	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	99	1
LA	I	ID	46	ID-46	LA-ID-46	Relativt åpent dallandskap i lavlandet med større innsjø og bebyggelse/infrastruktur	Relatively open valley with lake with settlements 		KLG_RE-ID-KF-2				KLG_IP-2	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	100	0
LA	I	ID	47	ID-47	LA-ID-47	Relativt åpent dallandskap i lavlandet med større innsjø, bebyggelse/infrastruktur og høyt jordbrukspreg	Relatively open valley with lake with settlements and agriculture		KLG_RE-ID-KF-2				KLG_IP-2	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	101	0
LA	I	ID	48	ID-48	LA-ID-48	Relativt åpent dallandskap i lavlandet med større innsjø og tettsted 	Relatively open valley with lake with village 		KLG_RE-ID-KF-2				KLG_IP-2	KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	102	0
LA	I	ID	49	ID-49	LA-ID-49	Relativt åpent dallandskap ved skoggrensen med større innsjø 	Relatively open lower mountain valley with lake 		KLG_RE-ID-KF-2				KLG_IP-2	KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	103	1
LA	I	ID	5	ID-5	LA-ID-5	Åpent dallandskap i lavlandet med tettsted 	Open valley with village 		KLG_RE-ID-KF-1				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	59	0
LA	I	ID	50	ID-50	LA-ID-50	Relativt åpent dallandskap ved skoggrensen med større innsjø og bebyggelse/infrastruktur	Relatively open lower mountain valley with lake with settlements 		KLG_RE-ID-KF-2				KLG_IP-2	KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	104	0
LA	I	ID	51	ID-51	LA-ID-51	Relativt åpent dallandskap i fjellet med vegetasjonsdekke og større innsjø 	Relatively open mountain valley with lake 		KLG_RE-ID-KF-2				KLG_IP-2	KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	105	1
LA	I	ID	52	ID-52	LA-ID-52	Relativt åpent dallandskap med bart fjell/blokkmark og med større innsjø 	Relatively open barren mountain valley with lake 		KLG_RE-ID-KF-2				KLG_IP-2	KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	106	1
LA	I	ID	53	ID-53	LA-ID-53	Relativt åpent dallandskap med bart fjell/blokkmark, større innsjø og bebyggelse/infrastruktur	Relatively open barren mountain valley with lake with settlements 		KLG_RE-ID-KF-2				KLG_IP-2	KLG_BP-1		KLG_VE-4	KLG_AI-2		KLG_JP-1	107	0
LA	I	ID	54	ID-54	LA-ID-54	Relativt åpent dallandskap med større innsjø og isbre 	Relatively open barren mountain valley with lake with glacier 		KLG_RE-ID-KF-2				KLG_IP-2	KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	108	1
LA	I	ID	55	ID-55	LA-ID-55	Relativt åpent dallandskap i lavlandet med innlandsfjord 	Relatively open valley with larger lake 		KLG_RE-ID-KF-2				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	109	1
LA	I	ID	56	ID-56	LA-ID-56	Relativt åpent dallandskap i lavlandet med innlandsfjord og bebyggelse/infrastruktur	Relatively open valley with larger lake with settlements 		KLG_RE-ID-KF-2				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	110	0
LA	I	ID	57	ID-57	LA-ID-57	Relativt åpent dallandskap i lavlandet med innlandsfjord, bebyggelse/infrastrukturog høyt jordbrukspreg	Relatively open valley with larger lake with settlements and agriculture		KLG_RE-ID-KF-2				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	111	0
LA	I	ID	58	ID-58	LA-ID-58	Relativt åpent dallandskap i lavlandet med innlandsfjord og tettsted 	Relatively open valley with larger lake with village 		KLG_RE-ID-KF-2				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	112	0
LA	I	ID	59	ID-59	LA-ID-59	Relativt åpent dallandskap ved skoggrensen med innlandsfjord 	Relatively open lower mountain valley with larger lake 		KLG_RE-ID-KF-2				KLG_IP-3	KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	113	1
LA	I	ID	6	ID-6	LA-ID-6	Åpent dallandskap i lavlandet med tettsted og høyt jordbrukspreg	Open valley with village and agriculture		KLG_RE-ID-KF-1				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-2	60	0
LA	I	ID	60	ID-60	LA-ID-60	Relativt åpent dallandskap ved skoggrensen med innlandsfjord med bebyggelse/infrastruktur	Relatively open lower mountain valley with larger lake with settlements 		KLG_RE-ID-KF-2				KLG_IP-3	KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	114	0
LA	I	ID	61	ID-61	LA-ID-61	Relativt åpent dallandskap i fjellet med vegetasjonsdekke og innlandsfjord 	Relatively open mountain valley with larger lake 		KLG_RE-ID-KF-2				KLG_IP-3	KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	115	1
LA	I	ID	62	ID-62	LA-ID-62	Relativt åpent dallandskap i fjellet med vegetasjonsdekke med innlandsfjord og bebyggelse/infrastruktur	Relatively open mountain valley with larger lake with settlements 		KLG_RE-ID-KF-2				KLG_IP-3	KLG_BP-1		KLG_VE-3	KLG_AI-2		KLG_JP-1	116	0
LA	I	ID	63	ID-63	LA-ID-63	Relativt åpent dallandskap med bart fjell/blokkmark og innlandsfjord 	Relatively open barren mountain valley with larger lake 		KLG_RE-ID-KF-2				KLG_IP-3	KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	117	1
LA	I	ID	64	ID-64	LA-ID-64	Relativt åpent dallandskap med bart fjell/blokkmark, innlandsfjord og isbre 	Relatively open barren mountain valley with larger lake with glacier 		KLG_RE-ID-KF-2				KLG_IP-3	KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	118	1
LA	I	ID	65	ID-65	LA-ID-65	Nedskåret dallandskap i lavlandet	Steep sided valley 		KLG_RE-ID-KF-3				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	119	1
